"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 02","282.10","286.80","288.36","280.83","40.27M","-2.42%"
"2023- 05- 01","289.10","278.40","290.58","277.80","56.62M","4.18%"
"2023- 04- 28","277.49","272.25","277.58","270.71","29.22M","1.92%"
"2023- 04- 27","272.26","273.63","274.95","266.25","37.43M","1.00%"
"2023- 04- 26","269.56","270.02","273.30","267.05","40.45M","2.72%"
"2023- 04- 25","262.41","270.78","272.47","262.25","36.76M","-2.96%"
"2023- 04- 24","270.42","270.13","273.66","266.71","32.65M","-0.28%"
"2023- 04- 21","271.19","269.52","271.83","267.22","34.51M","0.06%"
"2023- 04- 20","271.04","276.71","280.30","270.00","42.77M","-2.96%"
"2023- 04- 19","279.31","273.61","280.00","272.32","35.14M","0.95%"
"2023- 04- 18","276.67","275.33","281.10","273.57","60.27M","2.46%"
"2023- 04- 17","270.02","265.65","270.06","264.33","32.15M","0.91%"
"2023- 04- 14","267.58","265.04","268.83","262.20","39.57M","1.11%"
"2023- 04- 13","264.63","267.34","268.87","263.29","35.22M","-0.12%"
"2023- 04- 12","264.95","273.70","274.68","264.48","44.35M","-2.48%"
"2023- 04- 11","271.69","277.23","277.90","271.26","30.23M","-1.49%"
"2023- 04- 10","275.79","268.23","276.21","266.69","37.98M","2.00%"
"2023- 04- 06","270.37","265.84","270.80","264.27","39.77M","0.58%"
"2023- 04- 05","268.81","268.29","269.98","263.95","50.33M","-2.08%"
"2023- 04- 04","274.53","279.66","280.00","273.07","36.64M","-1.83%"
"2023- 04- 03","279.65","275.09","280.00","273.36","39.62M","0.68%"
"2023- 03- 31","277.77","271.40","278.34","271.05","43.39M","1.44%"
"2023- 03- 30","273.83","272.29","274.99","271.02","35.64M","1.48%"
"2023- 03- 29","269.84","268.25","270.78","265.97","39.37M","2.17%"
"2023- 03- 28","264.10","264.47","265.13","258.50","35.48M","-0.46%"
"2023- 03- 27","265.31","268.37","270.00","263.65","36.02M","-0.93%"
"2023- 03- 24","267.79","270.31","271.67","263.55","45.54M","-1.52%"
"2023- 03- 23","271.91","271.15","274.99","266.90","56.18M","2.73%"
"2023- 03- 22","264.68","264.25","275.89","262.37","79.26M","1.03%"
"2023- 03- 21","261.99","261.80","263.92","253.81","54.52M","1.15%"
"2023- 03- 20","259.00","256.15","260.24","251.30","43.15M","0.68%"
"2023- 03- 17","257.25","259.82","263.99","256.68","84.85M","0.72%"
"2023- 03- 16","255.41","240.27","255.88","238.94","58.49M","5.42%"
"2023- 03- 15","242.28","237.61","242.86","233.60","51.77M","0.69%"
"2023- 03- 14","240.63","234.96","242.19","234.60","47.15M","4.78%"
"2023- 03- 13","229.66","227.52","232.98","222.97","42.19M","0.00%"
"2023- 03- 10","229.65","234.09","236.27","227.26","47.49M","-2.01%"
"2023- 03- 09","234.36","241.75","244.54","233.83","49.94M","-3.08%"
"2023- 03- 08","241.81","234.87","242.00","234.24","51.36M","3.83%"
"2023- 03- 07","232.88","236.00","241.25","232.41","51.52M","-1.13%"
"2023- 03- 06","235.54","238.91","242.48","234.87","43.74M","-1.41%"
"2023- 03- 03","238.90","233.20","239.00","231.30","40.94M","2.47%"
"2023- 03- 02","233.14","224.88","233.80","224.32","38.15M","2.71%"
"2023- 03- 01","226.98","231.92","232.56","225.08","45.52M","-2.23%"
"2023- 02- 28","232.16","233.72","238.25","232.06","45.60M","-1.21%"
"2023- 02- 27","235.01","236.70","238.80","234.54","45.30M","0.92%"
"2023- 02- 24","232.86","232.25","234.74","229.47","58.97M","-1.60%"
"2023- 02- 23","236.64","234.40","238.88","230.25","111.80M","14.02%"
"2023- 02- 22","207.54","207.07","211.04","204.21","51.32M","0.48%"
"2023- 02- 21","206.55","210.00","214.94","206.18","41.00M","-3.43%"
"2023- 02- 17","213.88","216.31","217.40","209.75","46.59M","-2.79%"
"2023- 02- 16","220.02","221.33","225.50","219.27","40.88M","-3.35%"
"2023- 02- 15","227.64","225.49","228.55","221.06","42.01M","-0.90%"
"2023- 02- 14","229.71","215.78","230.49","213.66","67.55M","5.43%"
