"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 02- 10","408.04","405.86","408.44","405.01","70.77M","0.23%"
"2023- 02- 09","407.09","414.41","414.57","405.81","78.69M","-0.87%"
"2023- 02- 08","410.65","413.13","414.53","409.93","76.23M","-1.09%"
"2023- 02- 07","415.19","408.87","416.49","407.57","90.99M","1.31%"
"2023- 02- 06","409.83","409.79","411.29","408.10","60.30M","-0.61%"
"2023- 02- 03","412.35","411.59","416.97","411.09","94.74M","-1.06%"
"2023- 02- 02","416.78","414.86","418.31","412.88","101.65M","1.46%"
"2023- 02- 01","410.80","405.21","413.67","402.35","101.46M","1.06%"
"2023- 01- 31","406.48","401.13","406.53","400.77","86.81M","1.47%"
"2023- 01- 30","400.59","402.80","405.13","400.28","74.20M","-1.25%"
"2023- 01- 27","405.68","403.65","408.16","403.44","68.35M","0.23%"
"2023- 01- 26","404.75","403.13","404.92","400.03","72.29M","1.10%"
"2023- 01- 25","400.35","395.95","400.70","393.56","84.80M","0.04%"
"2023- 01- 24","400.20","398.88","401.15","397.64","59.52M","-0.11%"
"2023- 01- 23","400.63","396.72","402.64","395.72","84.18M","1.20%"
"2023- 01- 20","395.88","390.10","396.04","388.38","91.81M","1.86%"
"2023- 01- 19","388.64","389.36","391.08","387.26","86.96M","-0.73%"
"2023- 01- 18","391.49","399.01","400.12","391.28","99.63M","-1.58%"
"2023- 01- 17","397.77","398.48","400.23","397.06","62.68M","-0.18%"
"2023- 01- 13","398.50","393.62","399.10","393.34","63.90M","0.39%"
"2023- 01- 12","396.96","396.67","398.48","392.42","90.16M","0.36%"
"2023- 01- 11","395.52","392.23","395.60","391.38","68.88M","1.26%"
"2023- 01- 10","390.58","387.25","390.65","386.27","65.36M","0.70%"
"2023- 01- 09","387.86","390.37","393.70","387.67","73.98M","-0.06%"
"2023- 01- 06","388.08","382.61","389.25","379.41","104.19M","2.29%"
"2023- 01- 05","379.38","381.72","381.84","378.76","76.97M","-1.14%"
"2023- 01- 04","383.76","383.18","385.88","380.00","85.93M","0.77%"
"2023- 01- 03","380.82","384.37","386.43","377.83","74.85M","-0.42%"
