COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
nasdaq,2023-03-13,11188.84,0.45,1
nasdaq,2023-03-10,11138.89,-1.76,-1
nasdaq,2023-03-09,11338.35,-2.05,-1
nasdaq,2023-03-08,11576.0,0.4,1
nasdaq,2023-03-07,11530.33,-1.25,-1
nasdaq,2023-03-06,11675.74,-0.11,-1
nasdaq,2023-03-03,11689.01,1.97,1
nasdaq,2023-03-02,11462.98,0.73,1
nasdaq,2023-03-01,11379.48,-0.66,-1
nasdaq,2023-02-28,11455.54,-0.1,-1
nasdaq,2023-02-27,11466.98,0.63,1
nasdaq,2023-02-24,11394.94,-1.69,-1
nasdaq,2023-02-23,11590.4,0.72,1
nasdaq,2023-02-22,11507.07,0.13,1
nasdaq,2023-02-21,11492.3,-2.5,-1
nasdaq,2023-02-17,11787.27,-0.58,-1
nasdaq,2023-02-16,11855.83,-1.78,-1
nasdaq,2023-02-15,12070.59,0.92,1
nasdaq,2023-02-14,11960.15,0.57,1
nasdaq,2023-02-13,11891.79,1.48,1
nasdaq,2023-02-10,11718.12,-0.61,-1
nasdaq,2023-02-09,11789.58,-1.02,-1
nasdaq,2023-02-08,11910.52,-1.68,-1
nasdaq,2023-02-07,12113.79,1.9,1
nasdaq,2023-02-06,11887.45,-1.0,-1
nasdaq,2023-02-03,12006.95,-1.59,-1
nasdaq,2023-02-02,12200.82,3.25,1
nasdaq,2023-02-01,11816.32,2.0,1
nasdaq,2023-01-31,11584.55,1.67,1
nasdaq,2023-01-30,11393.81,-1.96,-1
nasdaq,2023-01-27,11621.71,0.95,1
nasdaq,2023-01-26,11512.41,1.76,1
nasdaq,2023-01-25,11313.36,-0.18,-1
nasdaq,2023-01-24,11334.27,-0.27,-1
nasdaq,2023-01-23,11364.41,2.01,1
nasdaq,2023-01-20,11140.43,2.66,1
nasdaq,2023-01-19,10852.27,-0.96,-1
nasdaq,2023-01-18,10957.01,-1.24,-1
nasdaq,2023-01-17,11095.11,0.14,1
nasdaq,2023-01-13,11079.16,0.71,1
nasdaq,2023-01-12,11001.1,0.64,1
nasdaq,2023-01-11,10931.67,1.76,1
nasdaq,2023-01-10,10742.63,1.01,1
nasdaq,2023-01-09,10635.65,0.63,1
nasdaq,2023-01-06,10569.29,2.56,1
nasdaq,2023-01-05,10305.24,-1.47,-1
nasdaq,2023-01-04,10458.76,0.69,1
nasdaq,2023-01-03,10386.99,-0.76,-1
nasdaq,2022-12-30,10466.48,-0.11,-1
